Coin,Sentiment,Total_Volume_USD,Avg_PnL
@107,Extreme Fear,2484219.74,-89.5887875576037
@107,Extreme Greed,20452573.55,191.1582114651543
@107,Fear,8182406.93,-2.2912565496155253
@107,Greed,16923981.98,86.25176302214813
@107,Neutral,7717676.43,52.15010709216152
BTC,Extreme Fear,36751523.27,1.7319208572237954
BTC,Extreme Greed,43881928.84,41.4132639954844
BTC,Fear,300912163.3,48.90067315663627
BTC,Greed,164299783.9,15.949612092403314
BTC,Neutral,98386717.32,34.92117517925521
ETH,Extreme Fear,7720053.08,196.92766022254128
ETH,Extreme Greed,16009910.17,-20.75892793231225
ETH,Fear,39635351.1,236.86476378421054
ETH,Greed,37325288.1,98.21936567263569
ETH,Neutral,17590391.62,46.75329430372057
HYPE,Extreme Fear,29253178.69,46.904437527631835
HYPE,Extreme Greed,10086789.0,28.098989355797993
HYPE,Fear,63327528.27,30.06355240155987
HYPE,Greed,11751723.2,24.569011680455016
HYPE,Neutral,27570986.89,17.32280311140614
SOL,Extreme Fear,26241359.78,56.00612583173589
SOL,Extreme Greed,8040613.06,19.71559259749085
SOL,Fear,51824505.65,189.47222430454778
SOL,Greed,22849528.78,284.7982433650693
SOL,Neutral,16118744.79,216.69728189285715
